,number,subject,date,view,link
39,,"""신병 시즌2.3회.230905
M 최고관리자 3850 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17458&page=3
40,,"""OPENing 2023 - 나를 쏘다 2부.8회.230903
M 최고관리자 579 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17457&page=4
41,,"""순정복서.5회.230904
M 최고관리자 1023 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17456&page=4
42,,"""소용없어 거짓말.11회.230904
M 최고관리자 1837 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17455&page=4
43,,"""금이야 옥이야.112회.230904
M 최고관리자 366 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17454&page=4
44,,"""우아한 제국.20회.230904
M 최고관리자 367 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17453&page=4
45,,"""하늘의 인연.98회.230904
M 최고관리자 358 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17452&page=4
46,,"""힙하게.8회.230903
M 최고관리자 1111 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17451&page=4
47,,"""경이로운 소문2 - 카운터 펀치.12회.230903
M 최고관리자 958 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17450&page=4
48,,"""진짜가 나타났다.48회.230903
M 최고관리자 431 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17449&page=4
49,,"""힙하게.7회.230902
M 최고관리자 521 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17448&page=4
50,,"""연인 파트1.10회.230902
M 최고관리자 1201 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17447&page=4
51,,"""경이로운 소문2 - 카운터 펀치.11회.230902
M 최고관리자 490 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17446&page=4
52,,"""진짜가 나타났다.47회.230902
M 최고관리자 178 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17445&page=4
53,,"""잔혹한 인턴.8회.230901
M 최고관리자 590 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17444&page=4
54,,"""잔혹한 인턴.7회.230901
M 최고관리자 578 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17443&page=4
55,,"""독립영화관.230901
M 최고관리자 61 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17442&page=4
56,,"""소방서 옆 경찰서 그리고 국과수.9회.230901
M 최고관리자 791 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17441&page=4
57,,"""연인 파트1.9회.230901
M 최고관리자 661 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17440&page=4
58,,"""우아한 제국.19회.230901
M 최고관리자 52 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17439&page=4
59,,"""하늘의 인연.97회.230901
M 최고관리자 38 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17438&page=4
60,,"""신병 시즌1 E09-E10.230831
M 최고관리자 214 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17437&page=5
61,,"""신병 시즌1 E07-E08.230831
M 최고관리자 132 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17436&page=5
62,,"""신병 시즌1 E04-E06.230831
M 최고관리자 125 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17435&page=5
63,,"""신병 시즌1 E01-E03.230831
M 최고관리자 223 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17434&page=5
64,,"잔혹한 인턴.3회.230904
M 최고관리자 1086 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17432&page=5
65,,"OPENing 2023 - 나를 쏘다 2부.8회.230903
M 최고관리자 674 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17431&page=5
66,,"순정복서.5회.230904
M 최고관리자 2111 09.04",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17430&page=5
67,,"소용없어 거짓말.11회.230904
M 최고관리자 3487 09.04",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17429&page=5
68,,"금이야 옥이야.112회.230904
M 최고관리자 1408 09.04",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17428&page=5
69,,"우아한 제국.20회.230904
M 최고관리자 1103 09.04",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17426&page=5
70,,"하늘의 인연.98회.230904
M 최고관리자 1505 09.04",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17424&page=5
71,,"1
힙하게.8회.230903
M 최고관리자 5960 09.04",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17421&page=5
72,,"경이로운 소문2 - 카운터 펀치.12회.230903
M 최고관리자 6563 09.03",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17420&page=5
73,,"진짜가 나타났다.48회.230903
M 최고관리자 3950 09.03",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17419&page=5
74,,"KBS UHD 명품관.230903
M 최고관리자 646 09.03",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17418&page=5
75,,"1
힙하게.7회.230902
M 최고관리자 7252 09.03",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17415&page=5
